,Pressure (bars),H2,He,H2O,CH4,NH3,N2,C2H6,CO2,CH3NH2,CO
32,0.019137235207582544,0.6576034985,0.17151086228,0.10725488265000001,0.049123801453,0.014484087178,1.4475200634e-08,5.3704988726e-17,5.6711574258e-24,1.879485909e-24,2.7701748024e-29
33,0.01691172544644807,0.6576035063800001,0.17151086067,0.10725488163999998,0.049123800994,0.014484077688,1.9152512802e-08,5.496862234e-17,7.7014032417e-24,1.9475360197e-24,3.8177921777e-29
34,0.01494502494606524,0.65760351675,0.17151085856,0.10725488032,0.049123800389,0.014484065204,2.5305489557e-08,5.6260001819e-17,1.0443322488e-23,2.0179396349e-24,5.2538558433e-29
35,0.01320703622736631,0.6576035305,0.17151085576,0.10725487857,0.04912379958700001,0.014484048638,3.3469965079e-08,5.7579691263e-17,1.4175618093e-23,2.0907740959e-24,7.2371675613e-29
36,0.011671161911100682,0.65760354873,0.17151085205,0.10725487625,0.049123798524,0.014484026693999999,4.4285599343e-08,5.8928265249e-17,1.9248422503e-23,2.1661191093e-24,9.972385722400002e-29
37,0.01031389768378722,0.65760357283,0.17151084714,0.10725487318,0.049123797119,0.014483997674,5.8588148242e-08,6.0306308957e-17,2.6131929004e-23,2.2440567807e-24,1.3738612116e-28
38,0.009114472598521184,0.65760360665,0.17151084024999996,0.10725486888,0.049123795147,0.014483956948,7.8660379386e-08,6.242994109e-17,3.6469434562e-23,2.3660136934e-24,1.9598968579e-28
39,0.008054531205964931,0.65760365211,0.171510831,0.10725486309,0.04912379249599999,0.0144839022,1.0564386145e-07,6.4623284842e-17,5.0908569429e-23,2.4942941641e-24,2.7964423457e-28
40,0.007117852651001318,0.65760371322,0.17151081856,0.10725485531,0.049123788933,0.014483828616,1.4191058916e-07,6.6888456367e-17,7.1071881684e-23,2.6292090882e-24,3.9902642368999997e-28
41,0.00629010243623446,0.65760380563,0.17151079974,0.10725484354000002,0.049123783545,0.014483717339999999,1.9675402154e-07,7.0829309142e-17,1.0505460545e-22,2.8697142853e-24,6.1162487742e-28
42,0.005558613053440596,0.65760395578,0.17151076917,0.10725482443,0.049123774789,0.01448353653,2.858685334e-07,7.758859691e-17,1.6901774318e-22,3.2988359203e-24,1.0425641199e-27
43,0.004912190125853856,0.6576041737,0.17151072479,0.10725479668,0.049123762082,0.014483274114000001,4.1520305878e-07,8.4946557359e-17,2.7166771955e-22,3.7889123804e-24,1.7748259837e-27
44,0.004340941094577661,0.6576045376799999,0.17151065068,0.10725475033,0.049123740857999997,0.014482835803,6.31229613e-07,9.613160489699999e-17,4.7429954182e-22,4.577546205100001e-24,3.3513926287e-27
45,0.0038361238274175345,0.65760508917,0.17151053839,0.10725468012000001,0.04912370870100001,0.014482171713,9.5853409517e-07,1.0867960817e-16,8.2618777376e-22,5.5216313408e-24,6.3099052362e-27
46,0.003390012833314499,0.65760596067,0.17151036094,0.10725456915,0.049123657883,0.014481122254,1.47577212e-06,1.2410232391e-16,1.4756268943e-21,6.7629080203e-24,1.225866443e-26
47,0.002995781034986427,0.65760735428,0.17151007718,0.10725439171,0.049123576622,0.014479444088999998,2.3028749582e-06,1.4310030442e-16,2.7006700694e-21,8.4069181038e-24,2.4554641612999999e-26
48,0.002647395290480231,0.65760952094,0.17150963601,0.10725411585,0.049123450282,0.014476835008,3.5887903415e-06,1.6478297564e-16,4.9292808134e-21,1.0428074969e-23,4.9007372271e-26
49,0.0023395240647448253,0.65761300891,0.1715089258,0.10725367173999999,0.049123246898,0.014472634834,5.6588943956e-06,1.9153497089e-16,9.2009060585e-21,1.3119775166e-23,1.0062178013e-25
50,0.002067455838273131,0.65761806098,0.17150789712,0.10725302849,0.04912295231,0.014466551175000002,8.6572953623e-06,2.1763066451e-16,1.6249063399e-20,1.5940888349e-23,1.9267371217e-25
51,0.0018270270041765395,0.65762571941,0.17150633774,0.10725205339,0.04912250574399999,0.014457328968,1.3202566201999999e-05,2.4700653218e-16,2.8582033633e-20,1.9331305479e-23,3.6720816562e-25
52,0.0016145581502618365,0.65763781354,0.17150387518,0.10725051351,0.049121800531,0.014442765315999999,2.0380429253e-05,2.8296925557e-16,5.1459657471000004e-20,2.3769657853e-23,7.205626415900001e-25
53,0.0014267977510008586,0.6576548915,0.17150039783,0.10724833908,0.04912080471,0.014422200194,3.0516185730000004e-05,3.1713865554e-16,8.7765045427e-20,2.8252588669e-23,1.3209642652e-24
54,0.0012608724076806808,0.65768133928,0.17149501263999997,0.10724497164,0.049119262531,0.014390352005,4.6212931541e-05,3.5876127837000003e-16,1.5320989856e-19,3.4036064306e-23,2.4934184161000002e-24
