,Pressure (bars),H2,He,H2O,CH4,CH3OH,N2,CO2,HCN,C2H6,CO
48,0.002647395290480231,0.6399306124701508,0.1441062978173385,0.016306355635414962,0.0006809268579133543,1.2139810802498446e-06,0.013201532820425028,0.18065523614252316,3.985446247064185e-07,2.2696324107629458e-07,0.0051171705578914204
49,0.0023395240647448253,0.639947339042652,0.14410819552971282,0.016305117018141958,0.0006805461962616492,1.1337563719291855e-06,0.013200857579766658,0.18063925091015065,3.984330780083763e-07,2.2645691686358658e-07,0.005116907348131308
50,0.002067455838273131,0.6399654991679393,0.14411026035109528,0.016303774528586452,0.0006801296091031892,1.0510839814448623e-06,0.01320012425048236,0.1806218830817852,3.9831070982015135e-07,2.258600084809635e-07,0.00511662606560743
51,0.0018270270041765395,0.6399852057245685,0.14411250418596133,0.01630232110042454,0.0006796738784234379,9.665126718439018e-07,0.013199328212393693,0.1806030220947193,3.9817666048509777e-07,2.2514442433659734e-07,0.005116326582460464
52,0.0016145581502618365,0.6400065900532796,0.14411493977259016,0.01630074877814106,0.0006791752654484518,8.807199744303759e-07,0.013198464089043184,0.18058253969561214,3.9802986593325895e-07,2.242694907707711e-07,0.005116008993181177
53,0.0014267977510008586,0.6400297827440629,0.14411758584724021,0.01629904965676139,0.0006786297215725073,7.945441308126638e-07,0.013197526429255799,0.18056030191840602,3.9786908566986925e-07,2.2317950489784152e-07,0.0051156737484716825
54,0.0012608724076806808,0.6400549283418185,0.14412045820409783,0.01629721539909567,0.0006780329698270063,7.089741947354492e-07,0.013196509241650733,0.18053616426512015,3.976928690579268e-07,2.218031778945769e-07,0.005115321495981018
55,0.0011142428752325111,0.6400821833988153,0.14412357530036268,0.016295236846619075,0.0006773803330985993,6.250804749842994e-07,0.01319540600124674,0.18050996869391397,3.9749946431475513e-07,2.200561066889688e-07,0.0051149529225179655
56,0.000984665202794123,0.6401117285851687,0.14412695514566068,0.016293103189776982,0.0006766666150614542,5.439556563456607e-07,0.013194209215614762,0.18048153616346255,3.9728674596170446e-07,2.1784633124805777e-07,0.005114568439053271
57,0.0008701563933188907,0.6401437504262574,0.1441306224275528,0.016290802465080387,0.0006758862119841737,4.666780963066319e-07,0.013192911048165008,0.18045067643431925,3.9705223925696046e-07,2.1508070544009387e-07,0.005114168031895645
58,0.0007689640567018716,0.6401784378589499,0.14413460272639184,0.01628832211710381,0.0006750334660354956,3.942767716558889e-07,0.013191503508727496,0.18041719582764457,3.9679322972582757e-07,2.1167332303925063e-07,0.005113751255458296
59,0.0006795395920083764,0.640216024762547,0.14413891452560063,0.016285646627013678,0.0006741020873178326,3.2760487777795207e-07,0.013189976869914157,0.1803808671176358,3.965066170322944e-07,2.075513191056025e-07,0.005113316844576664
60,0.0006005144883981762,0.6402567461488108,0.1441435907389583,0.016282758701518272,0.0006730852261091089,2.6732265356095697e-07,0.013188321092093459,0.18034144848724384,3.961889958175316e-07,2.0265280461171694e-07,0.005112862632190053
61,0.000530679382065612,0.6403008650174029,0.14414865855121478,0.016279638955303412,0.0006719757737126201,2.1387967260070558e-07,0.013186524965194044,0.18029867648576278,3.958367952782535e-07,1.9693349752747736e-07,0.005112385563248724
62,0.0004689655486926548,0.6403486397185052,0.14415415494191777,0.01627626709524446,0.0006707664394864076,1.6749958832156632e-07,0.01318457712000286,0.18025227903828822,3.9544638888109514e-07,1.9036531276388406e-07,0.005111881931994399
63,0.00041442854818394187,0.640400333255505,0.14416011352393304,0.01627262261169929,0.0006694501143606786,1.281705732200885e-07,0.013182465705252949,0.18020197566432358,3.950142903706209e-07,1.8294653617390978e-07,0.005111347866823251
64,0.00036623377139033723,0.6404562659592393,0.14416655945199902,0.016268681734274284,0.0006680188303162563,9.562040372952453e-08,0.013180176243734224,0.18014743286784146,3.9453687899910367e-07,1.74702109720728e-07,0.0051107791916886625
65,0.00032364366763473594,0.6405167255281635,0.14417354197456478,0.016264420903414435,0.0006664643515406963,6.939719014570438e-08,0.013177694579457671,0.18008831001281084,3.940106092832684e-07,1.6567178274921738e-07,0.00511017176133558
66,0.00028600645757603945,0.6405820068409427,0.14418109666839,0.016259817099794443,0.0006647788416488507,4.889146700643786e-08,0.013175005546999793,0.18002425175880518,3.9343223760799767e-07,1.5593212316388427e-07,0.005109522038067671
67,0.0002527461586781727,0.6406523894452777,0.14418926493831935,0.016254848099418594,0.0006629544060163957,3.337078440662779e-08,0.013172093375170283,0.17995488497273673,3.927986502378115e-07,1.4559283581471275e-07,0.00510882752435212
68,0.00022335377063851234,0.6407281527934504,0.14419808333807918,0.016249492249810857,0.000660983105137085,2.202955008752116e-08,0.01316894100956772,0.17987980976391205,3.9210679791210404e-07,1.3480252616864603e-07,0.005108087073071792
69,0.00019737948588157686,0.6408095595124915,0.14420759250783868,0.016243728896184792,0.0006588568700546654,1.4048530196373524e-08,0.01316553048360922,0.17979860215981766,3.9135356733646763e-07,1.237403093106957e-07,0.005107301176439704
70,0.00017442580591096613,0.6408968692516962,0.1442178292514541,0.01623753790309595,0.0006565674721016274,8.649116595886324e-09,0.01316184233271806,0.17971080568626366,3.905356563426665e-07,1.1260911872465003e-07,0.005106472138623479
71,0.00015414145817536454,0.6409903355013725,0.14422883193763308,0.016230899094114917,0.0006541062998669916,5.1409051709696645e-09,0.013157855465566961,0.1796159252964157,3.896493824853287e-07,1.0161531877772322e-07,0.00510560413337779
72,0.00013621602035512732,0.6410901714356609,0.14424064474208897,0.016223793619429664,0.0006514648856924707,2.9527635210149055e-09,0.013153548186141877,0.1795134474142333,3.886907812980078e-07,9.095065043224957e-08,0.005104703540325242
73,0.00012037516980200683,0.6411966030850493,0.14425329654449293,0.016216200825794277,0.0006486343736135406,1.6410143979393486e-09,0.013148895905680273,0.17940280189595884,3.8765536357603696e-07,8.078501613395112e-08,0.005103778851973977
74,0.0001063764854316313,0.6413097749638111,0.14426683450333647,0.016208100387419603,0.0006456059443827628,8.84419687598652e-10,0.013143873706158587,0.17928339893931683,3.8653823590708914e-07,7.124069269235236e-08,0.005102841089806999
75,9.400573782282984e-05,0.6414297804598753,0.1442812866583577,0.016199470747949907,0.0006423712795740759,4.6352488510313207e-10,0.013138454785199722,0.17915461687968778,3.853342809114809e-07,6.24089773824189e-08,0.005101904147273144
76,8.307361074919351e-05,0.6415566479364642,0.14429667456806938,0.01619028591268449,0.0006389216369992643,2.3697439861338873e-10,0.013132609523104861,0.1790157741290558,3.840378354798659e-07,5.4346188579989204e-08,0.005100985029673883
77,7.341280397070116e-05,0.6416903300409768,0.14431300940867342,0.016180511830213323,0.0006352474379125642,1.185914645171427e-10,0.013126304329481916,0.17886610644284764,3.826425358825319e-07,4.7075377168346145e-08,0.0051001038857612984
78,6.487547294786288e-05,0.6418306927018267,0.1443302895565424,0.01617010110860712,0.0006313375901358185,5.835412787684425e-11,0.013119500012616822,0.1787047329927768,3.81141038191794e-07,4.058675326932775e-08,0.005099283876931505
79,5.733096629695033e-05,0.6419773777255424,0.14434852271693668,0.01615899341263734,0.0006271806545381071,2.8460772408933232e-11,0.013112154822479247,0.17853071109170587,3.795254165193122e-07,3.4838496304894555e-08,0.005098551878295267
80,5.0663826361366494e-05,0.6421297966486763,0.14436768286611032,0.01614711053960559,0.0006227655855421029,1.3960978961951336e-11,0.01310422305707801,0.17834303105942598,3.7778745119769904e-07,2.977951978259876e-08,0.005097939346325153
81,4.4772022300821296e-05,0.6422871074143347,0.1443877117405728,0.016134347296411763,0.0006180805698755755,7.067687186408672e-12,0.013095652876209674,0.1781405666790028,3.7591817284008604e-07,2.5354927238471543e-08,0.005097483558340507
82,3.956538865832268e-05,0.6424481417399289,0.14440852492353945,0.016120562946936583,0.0006131127492294001,3.847301777381422e-12,0.013086385789617743,0.1779220600413754,3.7390770402927e-07,2.1506197519872047e-08,0.005097229151721662
