,Pressure (bars),H2,He,H2O,CH4,NH3,N2,CO,CO2,C2H6,HCN
53,0.22061711458233868,0.6655010297980122,0.16994048699448144,0.10620092659907301,0.04843245849900634,0.0054089930799716985,0.004463766048164807,1.4797379485418484e-05,2.0029824343228428e-05,5.643083853049823e-06,1.1425108403522222e-05
54,0.18498774507419863,0.6655083868999677,0.16993977050341508,0.10619765119243935,0.0484286718370133,0.005406838966149952,0.004464370038041083,1.4909293456704567e-05,2.0853775343069403e-05,5.9843464180512625e-06,1.2081787673551882e-05
55,0.15511247118076607,0.6655155163134943,0.16993909425932158,0.1061943685133027,0.04842498883948784,0.005404844889048178,0.004464890818224079,1.5020803989420668e-05,2.1684217514323855e-05,6.328272593638953e-06,1.2743623213246034e-05
56,0.13006201414128032,0.6655225865957097,0.16993843845726653,0.10619101601782262,0.04842132524550977,0.005402952037257842,0.0044653490293013,1.5133488331484156e-05,2.253653120654826e-05,6.681315828038421e-06,1.3422816739483146e-05
57,0.10905717247437034,0.6655297516379414,0.16993778713222396,0.10618753058425336,0.048417602401779246,0.005401110652621066,0.0044657604915280535,1.5249005151511276e-05,2.3426787946353973e-05,7.050088102709229e-06,1.4132048122102858e-05
58,0.09144458469776745,0.6655371365505628,0.16993712891131701,0.10618385713255132,0.048413755261214296,0.005399282476094817,0.004466136313806253,1.5368860530793e-05,2.4369287986301862e-05,7.4403476882844836e-06,1.4882594888045043e-05
59,0.07667640633643212,0.6655448649381425,0.1699364506667957,0.10617993855728426,0.04840972118191783,0.00539743415050557,0.004466484901485537,1.5494649629609794e-05,2.5378621752932044e-05,7.8578966678956e-06,1.5685983871087733e-05
60,0.06429326906673771,0.6655530539667651,0.16993574315475277,0.10617571676501691,0.048405438138623164,0.005395534961132471,0.004466813001696462,1.5628113098438065e-05,2.6470180635414574e-05,8.308843288178002e-06,1.655440059454046e-05
61,0.053909991936122816,0.6655618158457935,0.16993499599409878,0.1061711348266512,0.048400848111220376,0.005393558248948636,0.004467125564445597,1.5770924100323806e-05,2.7658808905907987e-05,8.79903818953241e-06,1.7499601270135077e-05
62,0.04520360020169508,0.6655712700690166,0.16993419906278867,0.10616613005287247,0.04839588848645473,0.005391476792603907,0.004467426902026734,1.5924953799716713e-05,2.8961053367523856e-05,9.335009912207568e-06,1.8534699236763023e-05
63,0.03790327911040771,0.6655815349972608,0.1699333431380276,0.10616063867939061,0.04839049666050849,0.005389264545953466,0.004467720532303144,1.609210302604738e-05,3.039386727691026e-05,9.923429020774803e-06,1.9673130581781878e-05
64,0.031781950130326045,0.6655927464423618,0.16993241563895556,0.10615458763988171,0.04838460236093351,0.005386893415995591,0.004468009685491436,1.6274508337638287e-05,3.1976427721761865e-05,1.0571851156094395e-05,2.093009630288033e-05
65,0.026649207609300864,0.6656050494888772,0.1699314059364177,0.10614789659401952,0.04837812812812994,0.005384333006321365,0.0044682975144573825,1.6474560258217544e-05,3.373029975202749e-05,1.1288798561200084e-05,2.2322694018910918e-05
66,0.022345396153836752,0.6656185959077954,0.16993030149605906,0.10614048157451828,0.04837099417347687,0.005381552823843625,0.0044685867419992096,1.6694708604426743e-05,3.567778430935424e-05,1.2083078795314589e-05,2.3868606158549667e-05
67,0.01873664450336731,0.6656335679798677,0.16992908626131345,0.10613224195996956,0.048363105260405624,0.005378516952857767,0.004468880339591541,1.6937875994606426e-05,3.7845548404397504e-05,1.2965274303719657e-05,2.5588984771663208e-05
68,0.015710701427205938,0.6656501582178986,0.16992774658601248,0.10612306917149114,0.04835435802622861,0.0053751866437277175,0.004469181339565248,1.720726106986143e-05,4.026289335157497e-05,1.3947045647729305e-05,2.750708069365801e-05
69,0.013173444118580124,0.6656685642592877,0.16992626685683218,0.10611285220988964,0.04834464782751716,0.005371523241631347,0.004469492445393008,1.750608186183635e-05,4.295944914906142e-05,1.5040186913697603e-05,2.9646418855651515e-05
70,0.011045950478368703,0.6656889983213552,0.16992463074460942,0.10610147143409601,0.04833386196354064,0.005367485308967001,0.004469816432144641,1.783780835310899e-05,4.596719017638601e-05,1.6257442513061937e-05,3.203240511082522e-05
71,0.009262044221107185,0.6657116920136622,0.16992281978999793,0.10608879648046658,0.048321878007669,0.005363028021215081,0.004470156183951043,1.8206214450245584e-05,4.932082705075518e-05,1.761263925560701e-05,3.469264578945041e-05
72,0.007766236443096407,0.6657369321026257,0.16992080810111135,0.10607466769364964,0.04830854663415666,0.005358096840019561,0.004470515156520384,1.861591449225334e-05,5.3062554943834376e-05,1.912254077489268e-05,3.766072522624611e-05
73,0.0065119996245136405,0.6657650465500237,0.1699185705660837,0.10605889968053364,0.04829369335226893,0.005352627670107703,0.004470897487899596,1.9072389693350685e-05,5.72421714450911e-05,2.080677535935609e-05,4.097630976600821e-05
74,0.005460320377878996,0.6657964441069735,0.1699160688397049,0.10604126518463144,0.04827710658856226,0.005346543093778852,0.004471307961837001,1.958228335903765e-05,6.191983015732372e-05,2.26887213248391e-05,4.4687331661044204e-05
75,0.0045784859257124635,0.6658316060618306,0.16991326515928437,0.10602149186563879,0.04825853145382893,0.005339749000742571,0.004471752560014451,2.015369231815212e-05,6.716903250474287e-05,2.4796414790649024e-05,4.8852346617562824e-05
76,0.0038390665604295248,0.6658710554765828,0.16991011735409584,0.10599928351735635,0.048237693275746285,0.005332143607913078,0.004472237551297878,2.0795367178756516e-05,7.306952613977792e-05,2.715930833266712e-05,5.3534889394642704e-05
77,0.00321906243560522,0.6659154195999643,0.16990656944872518,0.10597428737573125,0.048214268168005496,0.005323606553398981,0.004472770196782827,2.1517622905454902e-05,7.97156924289914e-05,2.981122460642525e-05,5.881012829419351e-05
78,0.002699188149310243,0.6659653469580706,0.16990257693670807,0.10594612958243267,0.048187912754170004,0.005314008312346274,0.004473358529504258,2.2331589535063514e-05,8.720958055050368e-05,3.278716283256485e-05,6.47593459294965e-05
79,0.002263272866283211,0.6660215441957303,0.1698980770065278,0.10591440987601848,0.04815826753738493,0.005303212985905172,0.00447401049117586,2.324891391766846e-05,9.565805098420365e-05,3.612179592133465e-05,7.146767224255374e-05
80,0.001897757319571377,0.6660847874488968,0.1698930103562074,0.10587868182350703,0.04812493210476232,0.005291067318198567,0.0044747353003978625,2.4282754472263875e-05,0.00010518185498037542,3.985273302587762e-05,7.903129378635678e-05
81,0.001591272045734883,0.6661558970616737,0.16988731013693434,0.10583847441040786,0.04808749056338094,0.005277410693126153,0.004475542412653973,2.5446896489461307e-05,0.0001159074286655489,4.401686374732006e-05,8.755092692969938e-05
82,0.0013342837345025674,0.6662358282491591,0.16988089213044724,0.10579324201702678,0.048045465902234866,0.00526205794243135,0.004476442646241984,2.6757224086650865e-05,0.00012798039700295103,4.865490504211801e-05,9.714250937160144e-05
83,0.0011187986924862568,0.6663256195474343,0.1698736758176595,0.1057423826070571,0.04799833572459082,0.005244802992305882,0.004477448338231256,2.82314581815009e-05,0.00014156309444575424,5.380897633437487e-05,0.00010793517888682215
84,0.0009381141971093605,0.6664264491824752,0.1698655554816589,0.10568521869951275,0.047945525796304456,0.005225416626544097,0.004478572877592192,2.9889304422711033e-05,0.00015683587442297982,5.952085603714853e-05,0.00012007218271108839
85,0.0007866100065440972,0.666539662765586,0.16985641887888445,0.10562096724429544,0.04788638253612531,0.005203632512681586,0.0044798321779937885,3.1753729490386506e-05,0.00017400877471380284,6.583306591260661e-05,0.00013371997501718098
86,0.00065957354051553,0.6666667091666999,0.16984614604805837,0.10554877695782948,0.04782021866128432,0.005179161940192457,0.004481243516223968,3.384970587980506e-05,0.00019330985935633684,7.278057616276723e-05,0.00014905869282277472
87,0.0005530532941724069,0.6668093315288647,0.16983457130531945,0.10546763066508558,0.04774623643824947,0.005151663779354479,0.004482827009410393,3.620678523474087e-05,0.00021500880827591943,8.039509730821329e-05,0.00016630052805019963
88,0.00046373592542217564,0.6669693731529585,0.1698215558867194,0.1053764179565725,0.04766359185553766,0.0051207606473101675,0.004484605944083084,3.885787571364495e-05,0.00023940545473574072,8.869549564899785e-05,0.00018568027568811475
89,0.00038884319249732715,0.6671487743907566,0.16980692476051543,0.10527397159936598,0.04757145576279827,0.005086063773424735,0.004486603527555797,4.1837000852956356e-05,0.0002668090221006616,9.767622258746574e-05,0.00020743817584626024
90,0.0003260455359671885,0.6673497126338415,0.16979048679805336,0.10515896507989697,0.04746892274296352,0.005047132244360217,0.004488846448195843,4.51829629058842e-05,0.00029757160399291086,0.00010731288050674143,0.0002318457889922997
